                S&P_HIGH   S&P_LOW  NYSE_ADV_ISS  NYSE_DECL_ISS  OTC_ADV_ISS  \
S&P_HIGH        1.000000  0.989210      0.027696       0.070367     0.441661   
S&P_LOW         0.989210  1.000000      0.029383       0.068093     0.443318   
NYSE_ADV_ISS    0.027696  0.029383      1.000000      -0.747096     0.418409   
NYSE_DECL_ISS   0.070367  0.068093     -0.747096       1.000000    -0.296923   
OTC_ADV_ISS     0.441661  0.443318      0.418409      -0.296923     1.000000   
OTC_DECL_ISS    0.512928  0.510169     -0.313159       0.414572     0.139410   
NYSE_NEW_HIGHS  0.114472  0.115436      0.264967      -0.144023     0.243061   
NYSE_NEW_LOWS   0.039511  0.037496     -0.173770       0.133222    -0.116930   
OTC_NEW_HIGHS   0.117964  0.119606      0.192845      -0.101059     0.242300   
OTC_NEW_LOWS    0.083889  0.082030     -0.201747       0.162851    -0.075596   
NYSE_TOT_VOL    0.654376  0.649211      0.082871       0.032540     0.491941   
NYSE_ADV_VOL    0.448152  0.448401      0.443408      -0.340354     0.659569   
NYSE_DECL_VOL   0.509694  0.506232     -0.316204       0.449111     0.164604   
OTC_TOT_VOL     0.763859  0.760390      0.050106       0.068306     0.503244   
OTC_ADV_VOL     0.658665  0.659158      0.241018      -0.123130     0.672055   
OTC_DECL_VOL    0.701928  0.698137     -0.148789       0.270539     0.285644   
S&P_EARNINGS    0.398762  0.399117      0.003419      -0.046785     0.204454   
3MOBILLS       -0.595194 -0.595078     -0.048728      -0.085397    -0.440344   
LNGBONDS       -0.637751 -0.638391     -0.033460      -0.071388    -0.415445   
GOLD           -0.270311 -0.271941     -0.044572      -0.028780    -0.147413   
S&P_CLOSE       0.990155  0.991352      0.034361       0.063351     0.446691   

                OTC_DECL_ISS  NYSE_NEW_HIGHS  NYSE_NEW_LOWS  OTC_NEW_HIGHS  \
S&P_HIGH            0.512928        0.114472       0.039511       0.117964   
S&P_LOW             0.510169        0.115436       0.037496       0.119606   
NYSE_ADV_ISS       -0.313159        0.264967      -0.173770       0.192845   
NYSE_DECL_ISS       0.414572       -0.144023       0.133222      -0.101059   
OTC_ADV_ISS         0.139410        0.243061      -0.116930       0.242300   
OTC_DECL_ISS        1.000000       -0.083459       0.179113      -0.053603   
NYSE_NEW_HIGHS     -0.083459        1.000000      -0.408916       0.692775   
NYSE_NEW_LOWS       0.179113       -0.408916       1.000000      -0.443418   
OTC_NEW_HIGHS      -0.053603        0.692775      -0.443418       1.000000   
OTC_NEW_LOWS        0.267055       -0.361639       0.558165      -0.361120   
NYSE_TOT_VOL        0.484212        0.131598       0.022368       0.133690   
NYSE_ADV_VOL        0.157004        0.239072      -0.075141       0.207599   
NYSE_DECL_VOL       0.650350        0.023611       0.068259       0.046604   
OTC_TOT_VOL         0.510016        0.149377       0.004689       0.175437   
OTC_ADV_VOL         0.301085        0.233477      -0.079729       0.249181   
OTC_DECL_VOL        0.697915        0.051520       0.087368       0.069535   
S&P_EARNINGS        0.238436       -0.025016       0.074871      -0.005268   
3MOBILLS           -0.472261       -0.115983       0.069657      -0.116251   
LNGBONDS           -0.461451       -0.162774       0.047874      -0.138487   
GOLD               -0.132365       -0.129186      -0.066241      -0.083731   
S&P_CLOSE           0.506710        0.116314       0.037580       0.119760   

                OTC_NEW_LOWS    ...      NYSE_ADV_VOL  NYSE_DECL_VOL  \
S&P_HIGH            0.083889    ...          0.448152       0.509694   
S&P_LOW             0.082030    ...          0.448401       0.506232   
NYSE_ADV_ISS       -0.201747    ...          0.443408      -0.316204   
NYSE_DECL_ISS       0.162851    ...         -0.340354       0.449111   
OTC_ADV_ISS        -0.075596    ...          0.659569       0.164604   
